ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:47"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide07_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide07_US23502317_1003449801_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2640, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"F635 CV"	"B635 CV"	"Index"
1	6	5	""	""	4360	2680	100	8533	8715	931	8484	8518	8484	516	13	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	49	231	16.610	49	231	697183	0.382	10	6	42
1	7	5	""	""	4610	2680	100	8774	8790	420	8925	8943	8925	565	5	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-151	-135	16.610	-151	-135	703184	-0.271	4	6	43
1	8	5	""	""	4850	2680	100	9135	9195	713	9180	9238	9180	656	4	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	-45	15	16.610	-45	15	735614	-0.066	7	7	44
1	9	5	""	""	5100	2680	100	9071	9040	374	9031	9075	9031	666	4	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-75	0	0	40	9	16.610	40	9	723187	-0.053	4	7	45
1	1	6	"Lg fr. 26 0.1然"	"100"	3240	2870	100	6272	6286	300	6151	6183	6151	514	9	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	121	135	16.610	121	135	502897	0.200	4	8	46
1	2	6	"Lg fr. 26 0.1然"	"100"	3480	2880	100	6893	6908	488	6907	6945	6907	612	8	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-14	1	16.610	-14	1	552649	-0.060	7	8	47
1	3	6	"Lg fr. 26 0.1然"	"100"	3730	2890	100	7633	7712	743	7569	7589	7569	550	14	5	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	64	143	16.610	64	143	616943	0.224	9	7	48
1	4	6	"Lg fr. 30 0.2然"	"116"	3980	2890	100	8143	8334	985	8216	8280	8216	871	3	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-73	118	16.610	-73	118	666716	0.062	11	10	49
1	5	6	"Lg fr. 30 0.2然"	"116"	4220	2900	100	8696	8675	388	8787	8802	8787	539	5	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-91	-112	16.610	-91	-112	693982	-0.236	4	6	50
1	6	6	"Lg fr. 30 0.2然"	"116"	4470	2910	100	9298	9372	655	9305	9333	9305	532	10	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-7	67	16.610	-7	67	749744	0.073	6	5	51
1	7	6	"Lg fr. 35 0.1然"	"132"	4720	2910	100	9683	9669	363	9614	9663	9614	485	11	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	69	55	16.610	69	55	773488	0.012	3	5	52
1	8	6	"Lg fr. 35 0.1然"	"132"	4960	2920	100	9762	9785	411	9674	9711	9674	602	10	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	556	100	-50	0	0	88	111	16.610	88	111	782838	0.123	4	6	53
1	9	6	"Lg fr. 35 0.1然"	"132"	5210	2920	100	9400	9574	924	9364	9386	9364	500	21	9	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	36	210	16.610	36	210	765905	0.376	9	5	54
1	1	7	"Ng fr.41 1.56然"	"115"	3240	3120	100	6956	7013	345	6951	6989	6951	632	8	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	5	62	16.610	5	62	561020	0.038	4	9	55
1	2	7	"Ng fr.41 1.56然"	"115"	3480	3130	100	7846	8046	937	7801	7873	7801	835	11	6	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	45	245	16.610	45	245	643694	0.207	11	10	56
