ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:25"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide06_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide06_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=3110, 1440"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	5	4	""	""	4350	2480	100	61	62	13	20	62	62	64	13	20	6	5	0	4972	-0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	32
-75	0	0	1	6	4	""	""	4590	2480	100	61	62	9	14	61	61	64	19	29	4	0	0	4958	-0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	33
-75	0	0	1	7	4	""	""	4840	2480	100	60	63	14	22	63	63	65	20	30	8	3	0	5050	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	0	-3	0	80	560	100	34
-75	0	0	1	8	4	""	""	5080	2480	100	65	66	12	18	64	64	65	13	20	8	6	0	5249	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	2	1	2	80	560	100	35
-75	0	0	1	9	4	""	""	5330	2480	100	65	66	12	18	65	65	66	11	16	14	6	0	5268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	36
-50	0	0	1	1	5	"Blank 8"	"148"	3470	2630	100	57	59	13	22	55	55	56	13	23	16	4	0	4711	0.231	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	2	4	2	4	80	519	100	37
-50	0	0	1	2	5	"Blank 8"	"148"	3710	2640	100	51	51	10	19	48	48	49	11	22	18	1	0	4080	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	3	3	3	3	80	536	100	38
-50	0	0	1	3	5	"Blank 8"	"148"	3940	2640	100	61	60	9	15	59	59	60	15	25	8	0	0	4791	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	2	1	2	1	80	490	100	39
-75	0	0	1	4	5	""	""	4100	2720	100	60	61	10	16	62	62	63	10	15	15	3	0	4867	-0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	-1	-2	-1	80	452	100	40
-75	0	0	1	5	5	""	""	4350	2720	100	59	60	11	18	60	60	61	11	18	18	1	0	4778	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	439	100	41
-75	0	0	1	6	5	""	""	4590	2720	100	59	62	15	24	61	61	62	11	17	13	6	0	4998	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	1	-2	1	80	493	100	42
-75	0	0	1	7	5	""	""	4840	2720	100	62	63	9	14	61	61	64	21	32	0	0	0	5005	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	2	1	2	80	491	100	43
-75	0	0	1	8	5	""	""	5080	2720	100	60	61	11	18	63	63	63	11	17	4	3	0	4859	-0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	489	100	44
-75	0	0	1	9	5	""	""	5330	2720	100	64	64	12	18	64	64	64	10	15	14	4	0	5130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	488	100	45
-50	0	0	1	1	6	"Lg fr. 26 0.1然"	"100"	3440	2860	100	59	58	9	15	55	55	56	13	23	14	0	0	4646	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	4	3	4	3	80	560	100	46
-50	0	0	1	2	6	"Lg fr. 26 0.1然"	"100"	3680	2860	100	47	49	9	18	53	53	54	10	18	8	0	0	3888	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-6	-4	-6	-4	80	560	100	47
-50	0	0	1	3	6	"Lg fr. 26 0.1然"	"100"	3910	2860	100	59	58	11	18	56	56	57	14	24	9	1	0	4638	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	3	2	3	2	80	560	100	48
-50	0	0	1	4	6	"Lg fr. 30 0.2然"	"116"	4150	2860	100	61	61	8	13	61	61	61	10	16	9	4	0	4904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	481	100	49
0	0	0	1	5	6	"Lg fr. 30 0.2然"	"116"	4390	2870	170	337	18223	25712	141	61	61	886	6778	765	38	35	0	3790431	2.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	276	18162	276	18162	208	1200	100	50
-50	0	0	1	6	6	"Lg fr. 30 0.2然"	"116"	4620	2870	100	63	63	8	12	63	63	1995	10314	516	0	0	0	5009	-0.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	479	100	51
