ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/10 16:43:28"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2630, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 CV"	"B532 CV"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"F532 Total Intensity"	"SNR 532"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"
1	4	4	""	""	3590	2510	100	52	0	0	31	52	8	52	53	52	11	10	1	15	20	0	0.000	0.000	0.000	0.000	0.000	0.000	4191	-0.091	0.000	80	560	100	-75	0	0	0	0	Error
1	5	4	""	""	3840	2510	100	51	0	5	32	56	25	51	52	51	10	15	9	44	19	0	0.000	0.000	0.000	0.000	0.000	0.000	4504	0.400	0.000	80	560	100	-75	0	0	0	5	Error
1	6	4	""	""	4080	2510	100	54	0	1	33	55	8	54	56	54	12	10	1	14	21	0	0.000	0.000	0.000	0.000	0.000	0.000	4387	-0.083	0.000	80	560	100	-75	0	0	0	1	Error
1	7	4	""	""	4330	2510	100	54	-2	-2	34	54	8	56	60	56	19	1	0	14	31	0	0.000	0.000	0.000	0.000	0.000	0.000	4293	-0.316	0.000	80	560	100	-75	0	0	-2	-2	Error
1	8	4	""	""	4570	2510	100	57	2	2	35	57	8	55	56	55	9	16	3	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4590	0.111	0.000	80	560	100	-75	0	0	2	2	Error
1	9	4	""	""	4820	2510	100	58	2	3	36	59	10	56	57	56	9	24	6	16	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4735	0.222	0.000	80	560	100	-75	0	0	2	3	Error
1	1	5	"Blank 8"	"148"	2850	2710	100	51	2	2	37	51	12	49	50	49	9	21	3	23	18	0	0.000	0.000	0.000	0.000	0.000	0.000	4105	0.111	0.000	80	547	100	-50	0	0	2	2	Error
1	2	5	"Blank 8"	"148"	3100	2710	100	49	1	1	38	49	8	48	49	48	8	20	4	16	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3959	0.000	0.000	80	546	100	-50	0	0	1	1	Error
1	3	5	"Blank 8"	"148"	3350	2700	100	46	-2	-2	39	46	8	48	49	48	8	11	0	17	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3715	-0.375	0.000	80	538	100	-50	0	0	-2	-2	Error
1	4	5	""	""	3590	2750	100	49	1	2	40	50	7	48	49	48	10	14	0	14	20	0	0.000	0.000	0.000	0.000	0.000	0.000	3979	0.100	0.000	80	539	100	-75	0	0	1	2	Error
1	5	5	""	""	3840	2750	100	48	-1	-1	41	48	7	49	50	49	8	8	0	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3851	-0.250	0.000	80	539	100	-75	0	0	-1	-1	Error
1	6	5	""	""	4080	2750	100	50	-2	-2	42	50	7	52	53	52	9	4	0	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4003	-0.333	0.000	80	530	100	-75	0	0	-2	-2	Error
1	7	5	""	""	4330	2750	100	51	-2	-2	43	51	8	53	54	53	11	5	0	15	20	0	0.000	0.000	0.000	0.000	0.000	0.000	4119	-0.273	0.000	80	530	100	-75	0	0	-2	-2	Error
1	8	5	""	""	4570	2750	100	47	-5	-3	44	49	7	52	53	52	9	9	0	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3891	-0.444	0.000	80	521	100	-75	0	0	-5	-3	Error
1	9	5	""	""	4820	2750	100	56	2	4	45	58	11	54	55	54	11	19	8	18	20	0	0.000	0.000	0.000	0.000	0.000	0.000	4608	0.273	0.000	80	521	100	-75	0	0	2	4	Error
1	1	6	"Lg fr. 26 0.1然"	"100"	2860	2960	100	48	-2	-2	46	48	8	50	51	50	8	8	1	16	15	0	0.000	0.000	0.000	0.000	0.000	0.000	3866	-0.375	0.000	80	560	100	-50	0	0	-2	-2	Error
1	2	6	"Lg fr. 26 0.1然"	"100"	3110	2950	100	51	2	2	47	51	7	49	53	49	26	1	0	13	49	0	0.000	0.000	0.000	0.000	0.000	0.000	4071	-0.077	0.000	80	560	100	-50	0	0	2	2	Error
1	3	6	"Lg fr. 26 0.1然"	"100"	3360	2950	100	47	0	1	48	48	8	47	48	47	17	3	0	16	35	0	0.000	0.000	0.000	0.000	0.000	0.000	3860	0.000	0.000	80	560	100	-50	0	0	0	1	Error
1	4	6	"Lg fr. 30 0.2然"	"116"	3610	2940	100	47	2	2	49	47	7	45	46	45	8	14	4	14	17	0	0.000	0.000	0.000	0.000	0.000	0.000	3721	0.125	0.000	80	539	100	-50	0	0	2	2	Error
1	5	6	"Lg fr. 30 0.2然"	"116"	3860	2940	100	47	1	0	50	46	7	46	47	46	7	18	4	15	14	0	0.000	0.000	0.000	0.000	0.000	0.000	3719	-0.143	0.000	80	539	100	-50	0	0	1	0	Error
1	6	6	"Lg fr. 30 0.2然"	"116"	4110	2930	100	48	0	1	51	49	8	48	49	48	8	16	4	16	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3921	0.000	0.000	80	530	100	-50	0	0	0	1	Error
1	7	6	"Lg fr. 35 0.1然"	"132"	4360	2930	100	49	-1	1	52	51	8	50	51	50	8	20	4	15	15	0	0.000	0.000	0.000	0.000	0.000	0.000	4052	0.000	0.000	80	530	100	-50	0	0	-1	1	Error
1	8	6	"Lg fr. 35 0.1然"	"132"	4610	2920	100	49	-1	-1	53	49	8	50	51	50	8	14	1	16	15	0	0.000	0.000	0.000	0.000	0.000	0.000	3912	-0.250	0.000	80	521	100	-50	0	0	-1	-1	Error
1	9	6	"Lg fr. 35 0.1然"	"132"	4860	2920	100	53	-2	1	54	56	10	55	58	55	15	8	3	17	25	0	0.000	0.000	0.000	0.000	0.000	0.000	4447	-0.133	0.000	80	521	100	-50	0	0	-2	1	Error
1	1	7	"Ng fr.41 1.56然"	"115"	2870	3200	100	49	0	1	55	50	7	49	49	49	8	16	3	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	4019	0.125	0.000	80	560	100	-50	0	0	0	1	Error
1	2	7	"Ng fr.41 1.56然"	"115"	3110	3200	100	46	-1	0	56	47	8	47	47	47	9	14	1	17	19	0	0.000	0.000	0.000	0.000	0.000	0.000	3756	0.000	0.000	80	560	100	-50	0	0	-1	0	Error
1	3	7	"Ng fr.41 1.56然"	"115"	3360	3190	100	46	0	-1	57	45	7	46	47	46	7	15	0	15	14	0	0.000	0.000	0.000	0.000	0.000	0.000	3634	-0.286	0.000	80	560	100	-50	0	0	0	-1	Error
1	4	7	"Lg fr. 17 0.1然"	"131"	3610	3190	100	43	-1	0	58	44	6	44	45	44	9	4	1	13	20	0	0.000	0.000	0.000	0.000	0.000	0.000	3509	-0.111	0.000	80	560	100	-50	0	0	-1	0	Error
1	5	7	"Lg fr. 17 0.1然"	"131"	3860	3180	100	45	1	1	59	45	6	44	44	44	7	16	3	13	15	0	0.000	0.000	0.000	0.000	0.000	0.000	3629	0.143	0.000	80	560	100	-50	0	0	1	1	Error
1	6	7	"Lg fr. 17 0.1然"	"131"	4110	3180	100	47	1	1	60	47	7	46	47	46	7	23	4	14	14	0	0.000	0.000	0.000	0.000	0.000	0.000	3779	0.000	0.000	80	560	100	-50	0	0	1	1	Error
1	7	7	"Lg fr. 21 0.9然"	"147"	4360	3170	100	49	-2	-1	61	50	9	51	52	51	10	10	1	18	19	0	0.000	0.000	0.000	0.000	0.000	0.000	3986	-0.200	0.000	80	560	100	-50	0	0	-2	-1	Error
1	8	7	"Lg fr. 21 0.9然"	"147"	4610	3170	100	58	2	2	62	58	10	56	61	56	17	9	0	17	27	0	0.000	0.000	0.000	0.000	0.000	0.000	4669	-0.176	0.000	80	560	100	-50	0	0	2	2	Error
