ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2018/03/07 19:14:21"
"Settings=Z:\Laudine\Agilent Scanner Glycan Array\Sn10_after_treatment_100pct_IgG.gps"
"GalFile=C:\Users\lpetralia\Documents\R drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=Z:\Laudine\Agilent Scanner Glycan Array\2018.03.07\US23502317_1003449801_Sn10_AfterTreatment_10pct_flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2590, 1260"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	5	4	""	""	3910	2200	100	73	73	8	10	63	63	64	9	14	51	14	0	5827	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	10	10	10	10	80	560	100	32
-75	0	0	1	6	4	""	""	4150	2200	100	70	71	8	11	71	71	71	10	14	9	3	0	5710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	33
-75	0	0	1	7	4	""	""	4400	2200	100	77	78	6	7	77	77	77	18	23	1	0	0	6227	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	34
-75	0	0	1	8	4	""	""	4640	2200	100	77	78	8	10	77	77	76	10	13	11	3	0	6218	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	35
-75	0	0	1	9	4	""	""	4890	2200	100	68	68	10	14	76	76	77	25	32	1	0	0	5465	-0.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-8	-8	-8	-8	80	560	100	36
0	0	0	1	1	5	"Blank 8"	"148"	2960	2440	60	152	192	138	71	54	54	56	16	28	69	69	0	6143	8.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	98	138	98	138	32	176	100	37
0	0	0	1	2	5	"Blank 8"	"148"	3190	2450	70	157	163	106	65	39	39	40	9	22	81	78	0	5203	13.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	118	124	118	124	32	236	100	38
0	0	0	1	3	5	"Blank 8"	"148"	3450	2430	60	157	192	139	72	40	40	40	9	22	88	72	0	6151	16.889	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	117	152	117	152	32	176	100	39
-75	0	0	1	4	5	""	""	3660	2440	100	51	52	6	11	52	52	53	7	13	5	3	0	4170	-0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	40
-75	0	0	1	5	5	""	""	3910	2440	100	54	55	5	9	56	56	56	8	14	1	1	0	4396	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	-1	-2	-1	80	560	100	41
